Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
4-chlorobiphenyl,,218-127-7,2051-62-9,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,4,4'-trichlorobiphenyl",,230-293-2,7012-37-5,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,2',4,4'-tetrachlorobiphenyl",,219-444-3,2437-79-8,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"Pentachloro[1,1'-biphenyl]",,246-974-2,25429-29-2,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
Dichlorobiphenyl,,247-061-1,25512-42-9,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"Chloro-1,1'-biphenyl",,248-405-3,27323-18-8,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"Heptachloro-1,1'-biphenyl",,249-129-6,28655-71-2,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
Tetrachloro(tetrachlorophenyl)benzene,,250-646-4,31472-83-0,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,2',4,4',6,6'-hexachlorobiphenyl",,251-773-8,33979-03-2,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"Nonachloro-1,1'-biphenyl",,258-738-6,53742-07-7,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,3,3',4,4',5-Hexachlorobiphenyl",,620-601-7,38380-08-4,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"3,3'-dichlorobiphenyl",,621-287-4,2050-67-1,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,4',5-trichlorobiphenyl",,621-296-3,16606-02-3,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,3',4,4',5-pentachlorobiphenyl",,621-375-2,31508-00-6,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,2',3,4,4',5'-hexachlorobiphenyl",,621-377-3,35065-28-2,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,2',3,4,4',5,5'-heptachlorobiphenyl",,621-378-9,35065-29-3,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,2',4,5,5'-pentachlorobiphenyl",,621-393-0,37680-73-2,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,4,6-Trichlorobiphenyl",,621-526-2,35693-92-6,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,2',5,5'-tetrachlorobiphenyl",,621-615-6,35693-99-3,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,4,5-trichloro-1,1'-biphenyl",,630-494-9,15862-07-4,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"3,3',4,4'-tetrachloro-1,1'-biphenyl",,634-804-3,32598-13-3,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"2,2',3,3',4,4',5-heptachlorobiphenyl",,634-856-7,35065-30-6,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"4,4'-dichlorobiphenyl",,218-095-4,2050-68-2,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
"Decachloro-1,1'-biphenyl",,218-115-1,2051-24-3,Yes,29-Apr-2004,"<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2004.158.01.0007.01.ENG&toc=OJ:L:2004:158:TOC"">Regulation (EC) No 850/2004 of the European Parliament and of the Council on persistent organic pollutants</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2014.363.01.0067.01.ENG&toc=OJ:L:2014:363:TOC"">Commission Regulation (EU) No 1342/2014 of 17 December 2014 amending Regulation (EC) No 850/2004  as regards Annexes IV and V</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2019.169.01.0045.01.ENG&toc=OJ:L:2019:169:TOC"">Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>","Annex I, part A#Annex III, part A#Annex IV",12-Nov-2020
