NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
41777,68439-70-3,YES,Alkyl(C=12-16) dimethyl amines,KE-00789,,,,,,,,,
41778,67700-98-5,YES,Alkyl(C=10-16) dimethyl amines,KE-00788,,,,,,,,,
41779,,YES,"n-Alkyl(or dialkyl(C=1-4)benzenesulfonic acid (Na, K, Ca, Li salt)",KE-00787,,,,,,,,,
41780,,YES,"Alkyl (or dialkyl, C=1-12) alkenedicarboxylate (C=2-8)",KE-00786,,,,,,,,,
41781,,YES,"N-Alkyl (C=4-28)-N,N-dialkanol(C=4-16)amine",KE-00785,,,,,,,,,
41782,,YES,Alkyl(C=2-4) cyclohexylalkanoate,KE-00784,,,,,,,,,
41783,,YES,Alkyl(C=1-5) cyclohexanone,KE-00783,,,,,,,,,
41784,,YES,4-n-Alkyl(C=3-5)-1-cyclohexanecarboxylic acid,KE-00782,,,,,,,,,
41785,,YES,Alkyl(C=1-20)chlorosilane reaction products with silica,KE-00781,,,,,,,,,
41786,93685-25-7,YES,Alkyl(C=12-17) chlorides,KE-00780,,,,,,,,,
41787,,YES,Alkyl (C=1-3) carboxylic acid guaiol ester,KE-00779,,,,,,,,,
41788,,YES,Alkyl (C=3-14) butanoate,KE-00778,,,,,,,,,
41789,,YES,[Alkyl(C=10-14)benzyl] trimethyl ammonium chloride,KE-00777,,,,,,,,,
41790,,YES,Alkylbenzylphthalate,KE-00776,,,,,,,,,
41791,,YES,N-Alkyl(C=2-5) phthalimide,KE-00833,,,,,,,,,
41792,,YES,"Alkyl(C=8-20) phosphates, sodium salts",KE-00832,,,,,,,,,
41793,83899-28-9,YES,Alkyl(C=8-18) phosphates compds with 2-ethyl-1-hexanamine,KE-00831,,,,,,,,,
41794,,YES,Alkyl(C=1-18)phenylsiloxane polymers,KE-00830,,,,,,,,,
41795,,YES,Alkyl(C=1-3)phenyl-alkyl(C=1-5) ether,KE-00829,,,,,,,,,
41796,68391-01-5,YES,Alkyl(C=12-18) benzyl dimethyl ammonium chloride,KE-00775,97-1-200,,,,,,,유독물질 : 염화 N-알킬디메틸벤질암모늄 및 이를 1% 이상 함유한 혼합물,
41797,,YES,Alkyl(C=10-14)(benzyl) dimethyl ammonium chloride,KE-00774,,,,,,,,,
41798,,YES,p-n-Alkyl(C=2-4) benzoyl chloride,KE-00773,,,,,,,,,
41799,,YES,p-n-Alkyl(C=3-8) benzonitrile,KE-00772,,,,,,,,,
41800,,YES,"Alkyl(C=6-18) benzenesulfonic acid (Na, K, Ca, Mg salt)",KE-00771,,,,,,,,,
41801,,YES,"Alkyl(C=19-28) benzenesulfonic acid (Na, Ca salt)",KE-00770,,,,,,,,,
41802,,YES,"Alkyl(C=20-50) benzenesulfonic acid (Na, Ca, K, Mg salt)",KE-00769,,,,,,,,,
41803,,YES,"Alkyl(C=14-30) benzenesulfonic acid, ammonium salt",KE-00768,,,,,,,,,
41804,,YES,n-Alkyl(C=3-36) benzene,KE-00767,,,,,,,,,
41805,,YES,N-Alkyl(C=4-18) benzamide,KE-00766,,,,,,,,,
41806,,YES,p-n-Alkyl(C=5-8) benzaldehyde,KE-00765,,,,,,,,,
41807,68515-92-4,YES,"Alkylated (C=9) phenol, calcium salt",KE-00764,,,,,,,,,
41808,,YES,Alkylarylpolyglycol ether,KE-00763,,,,,,,,,
41809,,YES,2-Alkyl (C=1-5) anthraquinone,KE-00762,,,,,,,,,
41810,,YES,Alkyl (C=3-20)-3-aminopropyl ether,KE-00761,,,,,,,,,
41811,,YES,4-Alkyl(C=20-2000)-2-aminophenol,KE-00760,,,,,,,,,
41812,,YES,4-Alkyl(C=1-19)-2-aminophenol,KE-00759,,,,,,,,,
41813,,YES,Alkylaminoalkyl methacrylate,KE-00758,,,,,,,,,
41814,,YES,"N-Alkyl(C=4-24)aminoalkyl(C=2-4)-N,N-dialkyl(C=1-5)amine",KE-00757,,,,,,,,,
41815,103213-64-5,YES,"tert-Alkyl(C=12-14) amines, di-Bu phosphates",KE-00756,,,,,,,,,
41816,105463-44-3,YES,"1-Allyl-2,2,7,7-tetramethylcycloheptanol",KE-00874,,,,,,,,,
41817,6289-31-2,YES,Allyl stearate,KE-00873,,,,,,,,,
41818,28655-63-2,YES,"ar-(Allyloxy)xylene-α,α'-diol; Dimethylolphenol allyl ether",KE-00872,,,,,,,,,
41819,85356-84-9,YES,1-[2-[[3-(Allyloxy)-2-hydroxypropyl]amino]ethyl]imidazolidin-2-one,KE-00871,,,,,,,,,
41820,1471-17-6,YES,"3-(Allyloxy)-2,2-bis[(allyloxy)methyl]propanol; Pentaerythritol triallyl ether",KE-00870,,,,,,,,,
41821,27605-76-1,YES,"3-Allyloxy-1,2-benzothiazole 1,1-dioxide; Probenazole",KE-00869,,,,,,,,,
41822,7493-72-3,YES,Allyl nonan-1-oate,KE-00868,,,,,,,,,
41823,28434-00-6,YES,"3-Allyl-2-methyl-4-oxocyclopent-2-en-1-yl-[1R-[1α(S*),3β]]-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropancarboxylate",KE-00867,,,,,,,,,
41824,10402-33-2,YES,4-Allyl-2-methoxyphenyl phenylacetate; Benzeneacetic acid 2-methoxy-4-(2-propenyl)phenyl ester,KE-00866,,,,,,,,,
41825,2424-58-0,YES,Allyl hydrogen maleate,KE-00865,,,,,,,,,
41826,,YES,Allyl hydrogen alkenyl(C=16-30) succinate,KE-00864,,,,,,,,,
41827,7493-75-6,YES,"Allyl hexa-2,4-dienoate",KE-00863,,,,,,,,,
41828,94277-65-3,YES,Aluminium lithium tetrahydroxide,KE-00993,,,,,,,,,
41829,12068-40-5,YES,Aluminium lithium silicate,KE-00992,,,,,,,,,
41830,11089-89-7,YES,Aluminum lithium oxide,KE-00991,,,,,,,,,
41831,16853-85-3,YES,Aluminium lithium hydride; Lithium tetrahydroaluminate,KE-00990,,,,,,,,,
41832,12003-67-7,YES,Aluminium lithium dioxide,KE-00989,,,,,,,,,
41833,100402-47-9,YES,"Aluminium lanthanum yttrium oxide, cerium and manganese-doped",KE-00988,,,,,,,,,
41834,12003-65-5,YES,Aluminium lanthanum trioxide,KE-00987,,,,,,,,,
41835,555-31-7,YES,Aluminium isopropylate; Aluminium isopropoxide,KE-00986,,,,,,,,,
41836,7784-23-8,YES,Aluminium iodide,KE-00985,,,,,,,,,
41837,97592-62-6,YES,"Aluminium, hydroxy [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, chloro sulfo derivs., sodium salts",KE-00984,,,,,,,,,
41838,1332-73-6,YES,Aluminium hydroxide sulfate,KE-00983,,,,,,,,,
41839,53810-32-5,YES,Aluminium hydroxide sulfate,KE-00982,,,,,,,,,
41840,24623-77-6,YES,Aluminium hydroxide oxide,KE-00981,,,,,,,,,
41841,21645-51-2,YES,Aluminium hydroxide,KE-00980,,,,,,,,,
41842,12003-61-1,YES,Aluminium holmium trioxide,KE-00979,,,,,,,,,
41843,17099-70-6,YES,Aluminium hexafluorosilicate,KE-00978,97-1-376,,,,,,,"유독물질 : 플루오로규산[Fluorosilicic acid; 16961-83-4]과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물. 다만 나트륨, 칼륨 및 마그네슘 염류(16893-85-9, 16871-90-2, 16949-65-8)의 경우 이를 25% 미만 함유한 것은 제외",
41844,90170-64-2,YES,"Aluminium, glycine hydroxy complexes",KE-00977,,,,,,,,,
41845,90170-63-1,YES,"Aluminium, glycerol hydroxy complexes",KE-00976,,,,,,,,,
41846,100402-46-8,YES,"Aluminium gallium magnesium zinc oxide, manganese-doped",KE-00975,,,,,,,,,
41847,59871-73-7,YES,Aluminium gallium magnesium oxide,KE-00974,,,,,,,,,
41848,12003-44-0,YES,Aluminium gadolinium trioxide,KE-00973,,,,,,,,,
41849,102110-16-7,YES,"Aluminum gadolinium oxide, solid soln. with aluminum yttrium oxide, gallium gadolinium oxide and gallium yttrium oxide, cerium and praseodymium and terbium-doped",KE-00972,,,,,,,,,
41850,13596-12-8,YES,Aluminium fluoride oxide,KE-00971,,,,,,,,,
41851,7784-18-1,YES,Aluminium fluoride; Aluminium trifluoride,KE-00970,,,,,,,,,
41852,12003-37-1,YES,Aluminium europium trioxide,KE-00969,,,,,,,,,
41853,160476-32-4,YES,Aluminium (ethylsilanolato)diisobutyl,KE-00968,,,,,,,,,
41854,3002-63-9,YES,Aluminium 2-ethylhexanoate,KE-00967,,,,,,,,,
41855,555-75-9,YES,Aluminium ethylate; Aluminium ethoxide,KE-00966,,,,,,,,,
41856,52725-43-6,YES,Aluminum dysprosium oxide,KE-00965,,,,,,,,,
41857,69011-71-8,YES,"Aluminium, dross",KE-00964,,,,,,,,,
41858,16509-02-7,YES,Aluminium dodecyl sulfate,KE-00963,,,,,,,,,
41859,12041-54-2,YES,Aluminium dodecaboride,KE-00962,,,,,,,,,
41860,58942-78-2,YES,Aluminium diiron tetraoxide,KE-00961,,,,,,,,,
41861,13939-25-8,YES,Aluminium dihydrogen triphosphate,KE-00960,,,,,,,,,
41862,14215-15-7,YES,Aluminium dichloride hydroxide,KE-00959,,,,,,,,,
41863,12068-35-8,YES,Aluminium dicalcium iron pentaoxide,KE-00958,,,,,,,,,
41864,12041-50-8,YES,Aluminium diboride,KE-00957,,,,,,,,,
41865,12250-93-0,YES,Aluminium copper dioxide,KE-00956,,,,,,,,,
41866,12004-78-3,YES,Aluminium compound with titanium (3:1),KE-00955,,,,,,,,,
41867,53169-53-2,YES,Aluminium compound with strontium (4:1),KE-00954,,,,,,,,,
41868,59978-64-2,YES,Aluminum compound with strontium (1:1),KE-00953,,,,,,,,,
41869,12003-78-0,YES,Aluminium compound with nickel (1:1),KE-00952,,,,,,,,,
41870,12003-72-4,YES,Aluminium compound with molybdenum (1:3),KE-00951,,,,,,,,,
41871,12043-69-5,YES,Aluminium compound with manganese (6:1),KE-00950,,,,,,,,,
41872,94277-05-1,YES,Aluminium compound with manganese (5:1),KE-00949,,,,,,,,,
41873,12253-45-1,YES,Aluminium compound with manganese (4:1),KE-00948,,,,,,,,,
41874,12253-13-3,YES,Aluminium compound with manganese (3:1),KE-00947,,,,,,,,,
41875,12003-70-2,YES,Aluminium compound with manganese (1:1),KE-00946,,,,,,,,,
41876,12042-37-4,YES,Aluminium compound with lithium (1:1),KE-00945,,,,,,,,,
41877,12004-32-9,YES,Aluminium compound with lanthanum (2:1),KE-00944,,,,,,,,,
41878,12043-58-2,YES,Aluminium compound with iron (5:2),KE-00943,,,,,,,,,
41879,12004-62-5,YES,Aluminium compound with iron (3:1),KE-00942,,,,,,,,,
41880,12252-30-1,YES,Aluminium compound with iron (2:1),KE-00941,,,,,,,,,
41881,12003-42-8,YES,Aluminium compound with iron (1:3),KE-00940,,,,,,,,,
41882,12042-17-0,YES,Aluminium compound with iron (1:1),KE-00939,,,,,,,,,
41883,12252-25-4,YES,Aluminium compound with europium (2:1),KE-00938,,,,,,,,,
41884,12004-15-8,YES,Aluminium compound with copper (2:1),KE-00937,,,,,,,,,
41885,61027-69-8,YES,Aluminium compound with copper (1:4),KE-00936,,,,,,,,,
41886,12042-08-9,YES,Aluminium compound with cerium (1:3),KE-00935,,,,,,,,,
41887,91399-51-8,YES,Aluminium compound with cerium (1:2),KE-00934,,,,,,,,,
41888,12043-47-9,YES,Aluminium compound with calcium (4:1),KE-00933,,,,,,,,,
41889,37248-62-7,YES,Aluminium compound with calcium (3:1),KE-00932,,,,,,,,,
41890,12042-65-8,YES,Aluminium compound with calcium (2:1),KE-00931,,,,,,,,,
41891,12253-23-5,YES,Aluminium compound with barium (4:1),KE-00930,,,,,,,,,
41892,73987-94-7,YES,Aluminosilicic acid (H12Al12SiO26) dodecasodium salt,KE-01058,,,,,,,,,
41893,1302-93-8,YES,Aluminosilicate (Mullite),KE-01057,,,,,,,,,
41894,1327-36-2,YES,Aluminosilicate,KE-01056,,,,,,,,,
41895,57158-29-9,YES,Aluminium zirconium chloride hydroxide,KE-01055,,,,,,,,,
41896,100402-39-9,YES,Aluminum zirconium bromide,KE-01054,,,,,,,,,
41897,12003-86-0,YES,Aluminium yttrium trioxide,KE-01053,,,,,,,,,
41898,12003-87-1,YES,Aluminium ytterbium trioxide,KE-01052,,,,,,,,,
41899,,YES,Aluminum tyrosinate,KE-01051,,,,,,,,,
41900,13770-87-1,YES,Aluminium trisulfamate,KE-01050,,,,,,,,,
41901,13963-57-0,YES,"Aluminium tris(2,4-pentanedionato-O,O'); Aluminium tris(acetylacetonate)",KE-01049,,,,,,,,,
41902,13530-50-2,YES,Aluminum tris(dihydrogen phosphate),KE-01048,,,,,,,,,
41903,7784-21-6,YES,Aluminium trihydride,KE-01047,,,,,,,,,
41904,52729-29-0,YES,Aluminium triglycinate,KE-01046,,,,,,,,,
41905,7446-70-0,YES,Aluminium trichloride,KE-01045,2024-1-1217,,,,,,,유독물질 : 염화 알루미늄[Aluminium trichloride; 7446-70-0] 및 이를 10% 이상 함유한 혼합물,
41906,37220-25-0,YES,Aluminum titanium oxide,KE-01044,,,,,,,,,
41907,12003-13-3,YES,Aluminum titanium chloride,KE-01043,,,,,,,,,
41908,10043-01-3,YES,Aluminium Sulfate,KE-01042,,,,,,,,,
41909,12251-53-5,YES,Aluminium sodium tetrahydroxide,KE-01041,,,,,,,,,
41910,7784-16-9,YES,Aluminium sodium tetrachloride,KE-01040,,,,,,,,,
41911,11138-49-1,YES,Aluminium sodium oxide,KE-01039,,,,,,,,,
41912,12251-30-8,YES,Aluminium sodium orthosilicate hydrate,KE-01038,,,,,,,,,
41913,1331-71-1,YES,Aluminium sodium fluoride,KE-01037,,,,,,,,,
41914,14504-95-1,YES,Aluminium silicate (3:2),KE-01035,,,,,,,,,
41915,12141-46-7,YES,Aluminium silicate,KE-01034,,,,,,,,,
41916,1302-82-5,YES,Aluminium selenide,KE-01033,97-1-134,,,,,,,"유독물질 : 셀레늄[Selenium; 7782-49-2] 또는 그 화합물과 이를 1% 이상 함유한 혼합물. 다만, 셀레늄, 카드뮴 설포셀레나이드 오렌지[Cadmium sulfoselenide orange; 12656-57-4], 카드뮴 설포셀레나이드 레드[Cadmium sulfoselenide red; 58339-34-7]의 경우는 이를 25% 미만 함유한 것은 제외",
41917,55187-69-4,YES,Aluminium scandium trioxide,KE-01032,,,,,,,,,
41918,12003-84-8,YES,Aluminium samarium trioxide,KE-01031,,,,,,,,,
41919,13530-57-9,YES,Aluminium rubidium bis(sulfate),KE-01030,,,,,,,,,
41920,1345-02-4,YES,Aluminium potassium silicate (3:1:3),KE-01029,,,,,,,,,
41921,12003-49-5,YES,Aluminium potassium silicate (1:1:1),KE-01028,,,,,,,,,
41922,1327-44-2,YES,Aluminum potassium silicate,KE-01027,,,,,,,,,
41923,11137-59-0,YES,Aluminium potassium oxide,KE-01026,,,,,,,,,
41924,60304-36-1,YES,Aluminium potassium fluoride,KE-01025,2024-1-1207,,,,,,,유독물질 : 플루오르화 알루미늄 칼륨[Aluminium potassium fluoride; 60304-36-1] 및 이를 10% 이상 함유한 혼합물,
41925,12068-38-1,YES,Aluminium potassium disilicate,KE-01024,,,,,,,,,
41926,12003-63-3,YES,Aluminium potassium dioxide,KE-01023,,,,,,,,,
41927,10043-67-1,YES,Aluminum potassium bis(sulfate),KE-01022,,,,,,,,,
41928,20859-73-8,YES,Aluminum phosphide,KE-01021,97-1-242,,,,06-4-23,,,유독물질 : 인화 알루미늄 및 그의 분해촉진제를 1% 이상 함유한 혼합물 / 금지물질 : 인화 알루미늄 및 그의 분해촉진제를 1% 이상 함유한 혼합물,
41929,12408-33-2,YES,Aluminium pentasilicon hydroxide undecaoxide,KE-01020,,,,,,,,,
41930,12252-79-8,YES,Aluminium oxide sulfate,KE-01019,,,,,,,,,
41931,102110-20-3,YES,"Aluminum oxide (Al2O3), solid soln. with lithium oxide, iron-doped",KE-01018,,,,,,,,,
41932,102110-19-0,YES,"Aluminum oxide (Al2O3), solid soln. with cerium oxide (CeO2) and magnesium oxide, terbium-doped",KE-01017,,,,,,,,,
41933,102110-18-9,YES,"Aluminum oxide (Al2O3), solid soln. with barium oxide, calcium oxide, cerium oxide and strontium oxide, dysprosium and terbium-doped",KE-01016,,,,,,,,,
41934,69011-74-1,YES,"Aluminium oxide (Al2O3), fluoride-contg.",KE-01015,,,,,,,,,
41935,99328-47-9,YES,"Aluminium oxide (Al2O3), chromium-doped",KE-01014,,,,,,,,,
41936,39377-45-2,YES,"Aluminium oxide, basic",KE-01013,,,,,,,,,
41937,1344-28-1,YES,Aluminium oxide; Alumina,KE-01012,,,,,,,,,
41938,7784-30-7,YES,Aluminium orthophosphate,KE-01011,,,,,,,,,
41939,71243-74-8,YES,Aluminum nitride (AlN) solid soln. with silicon carbide,KE-01010,,,,,,,,,
41940,51184-13-5,YES,Aluminium nitride oxide silicide,KE-01009,,,,,,,,,
41941,24304-00-5,YES,Aluminium nitride,KE-01008,,,,,,,,,
41942,13473-90-0,YES,Aluminium nitrate,KE-01007,,,,,,,,,
41943,12004-35-2,YES,Aluminium nickel oxide,KE-01006,,,,,,,,,
41944,7047-84-9,YES,Aluminium monostearate,KE-01005,,,,,,,,,
41945,64347-44-0,YES,Aluminium mono-n-butoxide diethylacetoacetate,KE-01004,,,,,,,,,
41946,21828-44-4,YES,Aluminium methacrylate,KE-01003,,,,,,,,,
41947,13776-88-0,YES,Aluminium metaphosphate,KE-01002,,,,,,,,,
41948,99670-23-2,YES,Aluminium magnesium silicate (2:3:8),KE-01001,,,,,,,,,
41949,12511-31-8,YES,Aluminium magnesium silicate (2:1:2),KE-01000,,,,,,,,,
41950,12040-42-5,YES,"Aluminium magnesium oxide, basic",KE-00999,,,,,,,,,
41951,11137-98-7,YES,Aluminium magnesium oxide,KE-00998,,,,,,,,,
41952,39366-43-3,YES,Aluminium magnesium hydroxide,KE-00997,,,,,,,,,
41953,66172-65-4,YES,Aluminium magnesium chloride hydroxide,KE-00996,,,,,,,,,
41954,14766-75-7,YES,Aluminium magnesium carbonate,KE-00995,,,,,,,,,
41955,37233-67-3,YES,Aluminium lutetium trioxide,KE-00994,,,,,,,,,
41956,68439-73-6,YES,"Amines, N-((C=14-18) and (C=16-18)-unsatd. alkyl) trimethylene di-",KE-01120,,,,,,,,,
41957,71302-76-6,YES,"Amines, (C=14-18) and (C=16-18)-unsatd. alkyl, ethoxylated, 4-dodecylbenzene-sulfonates (salts)",KE-01119,,,,,,,,,
41958,71302-75-5,YES,"Amines, (C=8-18) and (C=18)-unsatd. alkyl, ethoxylated, acetates (salts)",KE-01118,,,,,,,,,
41959,68391-07-1,YES,"Amines, ((C=14-18) and (C=16-18)-unsatd. alkyl) dimethyl",KE-01117,,,,,,,,,
41960,68855-63-0,YES,"Amines, (C=16) and (C=18)-unsatd. alkyl",KE-01116,,,,,,,,,
41961,125352-08-1,YES,"Amines, N-alkyl (C=12-22) trimethylenedi-, ethoxylated",KE-01115,,,,,,,,,
41962,85736-45-4,YES,"Amines, alkyl (C=12-18) methyl",KE-01114,,,,,,,,,
41963,75444-69-8,YES,"Amines, alkyl (C=16-22) dimethyl",KE-01113,,,,,,,,,
41964,,YES,"Amines, alkyl(C=8-28)dimethyl",KE-01112,,,,,,,,,
41965,79770-91-5,YES,"Amines, alkyl (C=4-6) di-and (C=6) cyclic di- polymers with 1,2-dichloroethane, epichlorohydrin and hydrogenated hexanedinitrile distn. residues",KE-01111,,,,,,,,,
41966,68920-90-1,YES,"Amines, alkyl(C=4-6) di- and (C=6) cyclic di-, polymers with 1,2-dichloroethane and epichlorohydrin",KE-01110,,,,,,,,,
41967,68603-55-4,YES,"Amines, alkyl(C=12-14), alkyl(C=6-10) phosphate",KE-01109,,,,,,,,,
41968,85736-41-0,YES,"Amines, alkyl (C=12-18), acetates",KE-01108,,,,,,,,,
41969,90640-32-7,YES,"Amines, alkyl(C=16-18)",KE-01107,,,,,,,,,
41970,31516-52-6,YES,Amidinourea nitrate,KE-01106,,,,,,,,,
41971,141-83-3,YES,1-Amidinourea,KE-01105,,,,,,,,,
41972,871-62-5,YES,3-(Amidinothio)propionic acid hydrochloride,KE-01104,,,,,,,,,
41973,73398-58-0,YES,"Amides, vegetable-oil, N,N'-hexanediylbis",KE-01103,,,,,,,,,
41974,74113-60-3,YES,"Amides, vegetable-oil, N-[2-(dimethylamino)ethyl], N-oxides",KE-01102,,,,,,,,,
41975,74113-62-5,YES,"Amides, vegetable-oil, N-[2-(dimethylamino)ethyl]",KE-01101,,,,,,,,,
41976,74113-66-9,YES,"Amides, vegetable-oil, N-[3-(diethylamino)propyl] reaction products with sodium chloroacetate",KE-01100,,,,,,,,,
41977,74113-65-8,YES,"Amides, vegetable-oil, N-[3-(diethylamino)propyl] N-oxides",KE-01099,,,,,,,,,
41978,74113-67-0,YES,"Amides, vegetable-oil, N-[3-(diethylamino)propyl]",KE-01098,,,,,,,,,
41979,74113-69-2,YES,"Amides, vegetable-oil, N-[2-(diethylamino)ethyl] reaction products with sodium chloroacetate",KE-01097,,,,,,,,,
41980,74113-68-1,YES,"Amides, vegetable-oil, N-[2-(diethylamino)ethyl], N-oxides",KE-01096,,,,,,,,,
41981,68155-26-0,YES,"Amides, vegetable-oil, N,N-bis(hydroxyethyl)",KE-01095,,,,,,,,,
41982,100683-94-1,YES,"Amides, (C=12-18)-unsatd., N-alkyl(C=12-18)-N-Me",KE-01094,,,,,,,,,
41983,100683-93-0,YES,"Amides, (C=12-18)-unsatd., N-[3-(alkyl(C=12-18) amino)propyl]",KE-01093,,,,,,,,,
41984,100683-92-9,YES,"Amides, (C=12-18)-unsatd., N-alkyl(C=12-18)",KE-01092,,,,,,,,,
41985,68425-52-5,YES,"Amides, tallow, hydrogenated, N-[2-[(2-hydroxyethyl)amino]ethyl]acetates (salts)",KE-01091,,,,,,,,,
41986,85711-34-8,YES,"Amides, tall oil fatty, N,N'-(iminodi-2,1-ethanediyl)bisphosphates",KE-01090,,,,,,,,,
41987,68155-20-4,YES,"Amides, tall oil fatty N,N-bis(hydroxyethyl)",KE-01089,,,,,,,,,
41988,68425-47-8,YES,"Amides, soya, N,N-bis(hydroxyethyl)",KE-01088,,,,,,,,,
41989,90623-22-6,YES,"Amides, peanut-oil, N,N-bis(hydroxyethyl)",KE-01087,,,,,,,,,
41990,68526-59-0,YES,"Amides, from unsatd. fatty acids(C=18) dimers and diethanolamine",KE-01086,,,,,,,,,
41991,68953-09-3,YES,"Amides, from (C=18)-unsaturated fatty acid dimers, tall oil fatty acids and triethylenetetramine reaction products with bisphenol A-epichlorohydrin polymer",KE-01085,,,,,,,,,
41992,68155-17-9,YES,"Amides, from tall oil fatty acids and tetraethylenepentamine",KE-01084,,,,,,,,,
41993,68443-08-3,YES,"Amides from Me epoxyhydroxyoctadecanoate, tetraethylenepentamine and vegetable-oil fatty acids",KE-01083,,,,,,,,,
41994,84988-70-5,YES,Amides from hydrogenated tallow and tetraethylenepentamine,KE-01082,,,,,,,,,
41995,90623-14-6,YES,"Amides from fatty acids (C=18-24), N,N-dimethyl-1,3-propanediamine and hydrogenated tallow fatty acid compds. with di-Me sulfate",KE-01081,,,,,,,,,
41996,68876-81-3,YES,Amides from fatty acids (C=2-9) and polyethylenimine,KE-01080,,,,,,,,,
41997,68526-43-2,YES,Amides from diethylenetriamine and tall-oil fatty acids,KE-01079,,,,,,,,,
41998,90623-02-2,YES,"Amides from 2-[(2-aminoethyl)amino]ethanol, fatty acids(C=18-24) and hydrogenated tallow fatty acids, compd. with di-Me sulfate",KE-01078,,,,,,,,,
41999,70851-09-1,YES,Amides from 2-[(2-aminoethyl)amino]ethanol and fatty acids(C=14-18),KE-01077,,,,,,,,,
42000,68425-44-5,YES,"Amides, coco, N-(hydroxyethyl), ethoxylated",KE-01076,,,,,,,,,
42001,68140-00-1,YES,"Amides, coco, N-(hydroxyethyl)",KE-01075,,,,,,,,,
42002,68155-09-9,YES,"Amides, coco, N-[3-(dimethylamino)propyl], N-oxide",KE-01074,,,,,,,,,
42003,68155-06-6,YES,"Amides, (C=12-18), N,N-bis(hydroxyethyl)",KE-01073,,,,,,,,,
42004,97926-10-8,YES,"Amides, (C=12-14), N,N-bis(hydroxyethyl)",KE-01072,,,,,,,,,
42005,68155-05-5,YES,"Amides, (C=10-16), N,N-bis(hydroxyethyl)",KE-01071,,,,,,,,,
42006,68603-38-3,YES,"Amides (C=16-18) and (C=18)-unsatd., N,N-bis(hydroxyethyl)",KE-01070,,,,,,,,,
42007,68155-07-7,YES,"Amides, (C=8-18) and (C=18)-unsatd., N,N-bis(hydroxyethyl)",KE-01069,,,,,,,,,
42008,93762-94-8,YES,"Amides, (C=16-18) and (C=16-18)-unsatd.",KE-01068,,,,,,,,,
42009,90640-45-2,YES,"Amides, N-alkyl(C=16-22)trimethylenedi-",KE-01067,,,,,,,,,
42010,100683-91-8,YES,"Amides, (C=12-18), N-alkyl(C=12-18)-N-Me",KE-01066,,,,,,,,,
42011,72623-72-4,YES,"Amides (C=14-18), N-[2-(alkyl(C=13-17)-4,5-dihydro-1H-imidazol-1-yl)ethyl]",KE-01065,,,,,,,,,
42012,100683-90-7,YES,"Amides, (C=12-18), N-[3-(alkyl(C=12-18)amino)propyl]",KE-01064,,,,,,,,,
42013,100683-89-4,YES,"Amides, (C=12-18), N-alkyl(C=12-18)",KE-01063,,,,,,,,,
42014,67700-97-4,YES,Amides (C=10-16),KE-01062,,,,,,,,,
42015,9079-25-8,YES,Amberlite,KE-01061,,,,,,,,,
42016,9000-02-6,YES,Amber,KE-01060,,,,,,,,,
42017,11095-65-1,YES,Aluminum ammonium fluoride phosphate,KE-01059,,,,,,,,,
42018,2079-00-7,YES,Blasticidin-S,KE-01170,97-1-117,,,,,,,유독물질 : 블라스티시딘-에스과 그 염류 및 그 중 하나를 1% 이상 함유한 혼합물,
42019,85269-32-5,YES,"5-Amino-3-[[4-[2-[4-[(7-amino-1-hydroxy-3-sulfo-2-naphthalenyl)azo]-2-sulfophenyl]ethenyl]-3-sulfophenyl]azo]-4-hydroxy-2,7-naphthalenedisulfonic acid potassium salt compound with 2,2',2''-nitrilotris[ethanol]",KE-01169,,,,,,,,,
42020,,YES,"2-Amino-N-(2-aminoethyl)-N-(2-hydroxyethyl)-N-methyl ethanaminium, N,N'-bis(hydrogenated tallow acyl) derivs. Me sulfates (salts)",KE-01168,,,,,,,,,
42021,68607-21-6,YES,"2-Amino-N-(2-aminoethyl)-N-(2-cyanoethyl)-N-ethanaminium, N,N-di-(C=18-22)acyl derivs., Et sulfates",KE-01167,,,,,,,,,
42022,93859-48-4,YES,"1-Amino-2-[(4-amino-3,5-diisopropylphenyl)methyl]-4-[(4-aminophenyl)methyl]benzene",KE-01166,,,,,,,,,
42023,15484-34-1,YES,4-Amino-α-(4-aminocyclohexyl)cyclohexylmethyl carbamate,KE-01165,,,,,,,,,
42024,69571-16-0,YES,"4-Amino-6-[[5-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]-2-sulfophenyl]azo]-3-[(2,5-disulfophenyl)azo]-5-hydroxynaphthalene-2,7-disulfonic acid",KE-01164,,,,,,,,,
42025,19396-06-6,YES,"5-[[2-Amino-5-O-(aminocarbonyl)-2-deoxy-L-xylonoyl]amino]-1,5-dideoxy-1-[3,4-dihydro-5-(hydroxymethyl)-2,4-dioxo-1(2H)-pyrimidinyl]-β-D-allofuranuronic acid; Polyoxin B",KE-01163,,,,,,,,,
42026,,YES,1-Amino-ω-(alkylthio)alkane(C=2-30),KE-01162,,,,,,,,,
42027,,YES,N-Aminoalkyl(C=2-4)-N-cyclohexylamine,KE-01161,,,,,,,,,
