CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
14233,15646-96-5,"Hexane, 1,6-diisocyanato-2,4,4-trimethyl-",,C11H18N2O2,,,,
14234,15647-08-2,"Phosphorous acid, 2-ethylhexyl diphenyl ester",,C20H27O3P,,,,
14235,15653-01-7,"Cerium, tris(2,4-pentanedionato-O,O')-, (OC-6-11)-",,C15H21CeO6,,,,
14236,15659-56-0,"Chromium, tetrachloro-.mu.-hydroxy[.mu.-(tetradecanoato-O:O')]di-",,C14H28Cl4Cr2O3,,,,
14238,15663-61-3,"Benzenediazonium, 2-chloro-5-(4-chlorophenoxy)-4-(dimethylamino)-, (T-4)-tetrachlorozincate(2-) (2:1)",,C14H12Cl2N3O.1/2Cl4Zn,,,,
14239,15666-29-2,"Distannathiane, dibutyldithioxo-",,C8H18S3Sn2,,,,
14240,15667-84-2,"Zirconium, (carbonato(2-)-O,O')oxo-",,CO4Zr,,,,
14241,15670-38-9,"Platinum, di-.mu.-chlorodichlorobis(tributylphosphine)di-",,C24H54Cl4P2Pt2,,,,
14243,15679-09-1,"Thiazole, 2-ethyl-",,C5H7NS,,,,
14244,15679-12-6,"Thiazole, 2-ethyl-4-methyl-",,C6H9NS,,,,
14245,15679-13-7,"Thiazole, 4-methyl-2-(1-methylethyl)-",,C7H11NS,,,,
14246,15679-19-3,"Thiazole, 2-ethoxy-",,C5H7NOS,,,,
14247,15680-42-9,"Copper, [1-[[(2-hydroxyphenyl)imino]methyl]-2-naphthalenolato(2-)-N,O,O']-",,C17H11CuNO2,,,,
14248,15681-89-7,"Borate(1-), tetrahydro-d4-, sodium",,BD4.Na,,,,
14249,15684-18-1,"Palladium, diamminedichloro-, (SP-4-2)-",,Cl2H6N2Pd,,,,
1425,136-51-6,"Hexanoic acid, 2-ethyl-, calcium salt",,C8H16O2.1/2Ca,,,,
14251,15687-27-1,"Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-",,C13H18O2,,,,
14255,15696-43-2,"Octanoic acid, lead salt",,C8H16O2.xPb,,,,
14256,15706-73-7,"Butanoic acid, 2-methyl-, butyl ester",,C9H18O2,,,,
14257,15707-23-0,"Pyrazine, 2-ethyl-3-methyl-",,C7H10N2,,,,
14258,15707-24-1,"Pyrazine, 2,3-diethyl-",,C8H12N2,,,,
14259,15708-41-5,"Ferrate(1-), [[N,N′-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:1), (OC-6-21)-",,C10H12FeN2O8.Na,,,,
1426,136-52-7,"Hexanoic acid, 2-ethyl-, cobalt(2+) salt",,C8H16O2.1/2Co,,,,
14260,15708-55-1,"Nickelate(2-), [[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']-, disodium, (OC-6-21)-",,C10H12N2NiO8.2Na,,,,
14261,15715-19-2,"Quino[2,3-b]acridine-7,14-dione, 4,11-dichloro-5,6,12,13-tetrahydro-",,C20H12Cl2N2O2,,,,
14262,15716-30-0,"Benzoic acid, 4-[bis(2-hydroxyethyl)amino]-, ethyl ester",,C13H19NO4,,,,
14263,15721-78-5,"Benzenamine, 4-(1,1,3,3-tetramethylbutyl)-N-[4-(1,1,3,3-tetramethylbutyl)phenyl]-",,C28H43N,,,,
14264,15727-77-2,"Propanoic acid, 2-methyl-, 2-propenyl ester",,C7H12O2,,,,
14265,15733-22-9,"Phenol, 4-chloro-3-methyl-, sodium salt",,C7H7ClO.Na,,,,
14266,15739-09-0,"Copper, [3,7,11,15-tetramethyl-2-hexadecenyl 9-ethenyl-14-ethyl-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoato(2-)-N23,N24,N25,N26]-, [SP-4-2-[3S-[3.alpha.(2E,7S*,11S*),4.beta.,21.beta.]]]-",,C55H72CuN4O5,,,,
14267,15739-80-7,"Sulfuric acid, lead salt",,H2O4S.xPb,,,,
14268,15748-73-9,"Lead, bis(2-hydroxybenzoato-O1,O2)-, (T-4)-",,C14H10O6Pb,,,,
14269,15760-18-6,"3-Cyclohexene-1-propanol, .gamma.,4-dimethyl-",,C11H20O,,,,
1427,136-53-8,"Hexanoic acid, 2-ethyl-, zinc salt",,C8H16O2.1/2Zn,,,,
14270,15764-04-2,"2(3H)-Naphthalenone, 4,4a,5,6,7,8-hexahydro-4,4a-dimethyl-6-(1-methylethylidene)-, (4R-cis)-",,C15H22O,,,,
14271,15764-16-6,"Benzaldehyde, 2,4-dimethyl-",,C9H10O,,,,
14272,15764-24-6,"1-Propanol, 2-(2-ethoxypropoxy)-",,C8H18O3,,,,
14273,15766-66-2,"3-Cyclohexene-1-propanol, 4-methyl-.gamma.-methylene-",,C11H18O,,,,
14274,15769-44-5,"Phenol, 2-(2H-benzotriazol-2-yl)-4,6-bis(2,2-dimethylpropyl)-",,C22H29N3O,,,,
14275,15773-52-1,"Decanoic acid, lead(2+) salt",,C10H20O2.1/2Pb,,,,
14276,15773-55-4,"Dodecanoic acid, lead(2+) salt",,C12H24O2.1/2Pb,,,,
14277,15773-56-5,"Hexadecanoic acid, lead(2+) salt",,C16H32O2.1/2Pb,,,,
14278,15780-28-6,Sodium hydride (NaD),,DNa,,,,
14279,15782-05-5,"2-Naphthalenecarboxylic acid, 4-[(5-chloro-4-methyl-2-sulfophenyl)azo]-3-hydroxy-, strontium salt (1:1)",,C18H13ClN2O6S.Sr,,,,
1428,136-60-7,"Benzoic acid, butyl ester",,C11H14O2,,,,
14280,15785-08-7,"3-Quinolinecarboxylic acid, 2-methyl-, ethyl ester",,C13H13NO2,,,,
14281,15785-09-8,"Cerium hydroxide, (Ce(OH)3)",,CeH3O3,,,,
14282,15787-49-2,"Pyridine, 2-cyclohexyl-",,C11H15N,,,,
14283,15790-07-5,C.I. Pigment Yellow 104,,Unspecified,,,,
14284,15790-15-5,"Benzoic acid, 4-[(4,5-dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-, methyl ester",,C18H16N4O3,,,,
14285,15791-78-3,"9,10-Anthracenedione, 1,8-dihydroxy-4-[[4-(2-hydroxyethyl)phenyl]amino]-5-nitro-",,C22H16N2O7,,,,
14286,15792-43-5,"2,7-Naphthalenedisulfonic acid, 5-(acetylamino)-3-[(4-dodecylphenyl)azo]-4-hydroxy-, disodium salt",,C30H39N3O8S2.2Na,,,,
14287,15792-47-9,"2-Naphthalenesulfonic acid, 7-amino-4-hydroxy-3-[[6-sulfo-4-[[4-[(3-sulfophenyl)azo]-1-naphthalenyl]azo]-1-naphthalenyl]azo]-, trisodium salt",,C36H25N7O10S3.3Na,,,,
14288,15792-51-5,"Benzenesulfonic acid, 2,5-dichloro-4-[4,5-dihydro-3-methyl-5-oxo-4-[[3-[(phenylamino)sulfonyl]phenyl]azo]-1H-pyrazol-1-yl]-, monosodium salt",,C22H17Cl2N5O6S2.Na,,,,
14289,15792-67-3,"Benzenemethanaminium, N-ethyl-N-[4-[[4-[ethyl[(3-sulfophenyl)methyl]amino]phenyl](2-sulfophenyl)methylene]-2,5-cyclohexadien-1-ylidene]-3-sulfo-, hydroxide, inner salt, aluminium salt (3:2)",,C37H36N2O9S3.2/3Al,,,,
1429,136-77-6,"1,3-Benzenediol, 4-hexyl-",,C12H18O2,,,,
14290,15793-73-4,"3H-Pyrazol-3-one, 4,4'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[2,4-dihydro-5-methyl-2-(4-methylphenyl)-",,C34H28Cl2N8O2,,,,
14291,15796-28-8,"Aluminium, (octanoato-O)oxo-",,C8H15AlO3,,,,
14292,15805-10-4,"1H-Benzotriazole, 5,5'-methylenebis-",,C13H10N6,,,,
14293,15806-38-9,"Butanoic acid, 3-methyl-, phenyl ester",,C11H14O2,,,,
14294,15817-15-9,"Oxiranecarboxylic acid, 3-phenyl-, 2-propenyl ester",,C12H12O3,,,,
14295,15826-16-1,"Ethanol, 2-(dodecyloxy)-, hydrogen sulfate, sodium salt",,C14H30O5S.Na,,,,
14297,15827-60-8,"Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-",,C9H28N3O15P5,,,,
14298,15829-53-5,Mercury oxide (Hg2O),,Hg2O,,,,
14299,15830-97-4,"9,10-Anthracenedione, 1,4-bis[(2-phenylethyl)amino]-",,C30H26N2O2,,,,
143,,"Formaldehyde, polymer with Maleic anhydride, Nonylphenol, Pentaerythritol and Petroleum resins",,,,,,
1430,136-84-5,"2-Imidazolidinone, 1,3-bis(hydroxymethyl)-",,C5H10N2O3,,,,
14300,15834-05-6,"Nonanoic acid, 2,2-dimethyl-1,3-propanediyl ester",,C23H44O4,,,,
14301,15834-10-3,"Phosphonic acid, [nitrilotris(methylene)]tris-, N-oxide",,C3H12NO10P3,,,,
14302,15834-33-0,Phosphorodithioic acid,,H3O2PS2,,,,
14303,15842-29-2,"Nitric acid, calcium salt, trihydrate",,Ca.3H2O.2HNO3,,,,
14304,15844-87-8,"Butanamide, 2-chloro-N,N-diethyl-3-oxo-",,C8H14ClNO2,,,,
14305,15844-92-5,"Octadecanoic acid, zirconium salt",,C18H36O2.xZr,,,,
14306,15846-25-0,"2-Butenamide, 3-amino-",,C4H8N2O,,,,
14307,15846-26-1,"2-Butenamide, 3-[(2-methyl-1-oxopropyl)amino]-",,C8H14N2O2,,,,
14308,15846-31-8,"3-Pyridinecarboxamide, 4-amino-1,4,5,6-tetrahydro-2,4-dimethyl-6-oxo-",,C8H13N3O2,,,,
14309,15848-49-4,"2-Cyclopentene-1-acetic acid, ethyl ester",,C9H14O2,,,,
1431,136-85-6,"1H-Benzotriazole, 6-methyl-",,C7H7N3,,,,
14310,15859-24-2,"Silicic acid (H4SiO4), sodium salt",,H4O4Si.xNa,,,,
14311,15860-96-5,"Phenol, 4-nonyl-2,6-bis(1-phenylethyl)-",,C31H40O,,,,
14312,15873-56-0,"1,1-Ethanediol, 2-chloro-",,C2H5ClO2,,,,
14313,15874-48-3,"Phosphorodithioic acid, O,O-dipropyl ester, tris(anhydrosulfide) with thioantimonic acid (H3SbS3)",,C6H15O2PS2.1/3Sb,,,,
14314,15874-52-9,"Phosphorodithioic acid, anhydrosulfide with thioantimonic acid (H3SbS3) (3:1), O,O,O,O,O,O-hexakis(2-ethylhexyl) ester",,C16H35O2PS2.1/3Sb,,,,
14315,15875-13-5,"1,3,5-Triazine-1,3,5(2H,4H,6H)-tripropanamine, N,N,N',N',N'',N''-hexamethyl-",,C18H42N6,,,,
14316,15876-32-1,"Cyclohexanol, 4-isopropyl-, acetate, trans-",,C11H20O2,,,,
14317,15876-39-8,"Spiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one, 2',4',5',7'-tetrabromo-3',6'-dihydroxy-, aluminium salt (3:2)",,C20H8Br4O5.2/3Al,,,,
14318,15876-51-4,"Aluminium, tris[4-[(2-hydroxy-1-naphthalenyl)azo]benzenesulfonato]-",,C48H33AlN6O12S3,,,,
14319,15879-01-3,"Ethanol, 2,2',2''-nitrilotris-, titanium salt",,C6H13NO4Ti,,,,
1432,136-95-8,2-Benzothiazolamine,,C7H6N2S,,,,
14321,15886-84-7,"1,3-Propanediol, dimethanesulfonate",,C5H12O6S2,,,,
14322,15890-25-2,"Carbamodithioic acid, dipentyl-, tris(anhydrosulfide) with thioantimonic acid (H3SbS3)",,C33H66N3S6Sb,,,,
14323,15894-70-9,"Guanidine, N,N'''-1,6-hexanediylbis[N'-cyano-",,C10H18N8,,,,
14324,15901-40-3,"Silanetriamine, N,N',N''-tricyclohexyl-1-methyl-",,C19H39N3Si,,,,
14325,15909-83-8,"1-Propanesulfonic acid, 3-hydroxy-",,C3H8O4S,,,,
14326,15932-80-6,"Cyclohexanone, 5-methyl-2-(1-methylethylidene)-",,C10H16O,,,,
14327,15933-59-2,"Silanamine, N-(dimethylsilyl)-1,1-dimethyl-",,C4H15NSi2,,,,
14328,15934-01-7,"Glycine, N,N′-1,2-ethanediylbis[N-(carboxymethyl)-, ammonium salt (1:3)",,C10H16N2O8.3H3N,,,,
14329,15935-52-1,"Benzamide, N,N'-[1,3,4-oxadiazole-2,5-diylbis(4-amino-9,10-dihydro-9,10-dioxo-3,1-anthracenediyl)]bis-",,C44H26N6O7,,,,
1433,136-99-2,"1H-Imidazole-1-ethanol, 4,5-dihydro-2-undecyl-",,C16H32N2O,,,,
14330,15948-19-3,"Disiloxane, 1,3-dichloro-1,3-diethenyl,-1,3-dimethyl-",,C6H12Cl2OSi2,,,,
14331,15956-58-8,"Hexanoic acid, 2-ethyl-, manganese salt",,C8H16O2.xMn,,,,
14332,15957-73-0,"Maleic acid, 2-hydroxybutyl 2-(2-oxo-1-imidazolidinyl)ethylester",,C13H20N2O6,,,,
14333,15958-27-7,"Propionitrile, 3-[N-(2-hydroxyethyl)-p-[(p-nitrophenyl)azo]anilino]-, carbanilate (ester)",,C24H22N6O4,,,,
14334,15958-43-7,"Carbamic acid, butyl-, 2-[(2-cyanoethyl)[4-[(2-cyano-4-nitrophenyl)azo]phenyl]amino]ethyl ester",,C23H25N7O4,,,,
14335,15958-61-9,"Anthraquinone, 1-[p-(phenylsulfonyl)anilino]-",,C26H17NO4S,,,,
14336,15968-01-1,"1,2-Benzenedicarboxylic acid, disodium salt",,C8H6O4.2Na,,,,
14337,15968-37-3,"Imidazo[4,5-d]imidazole-2,5(1H,3H)-dione, 1,3,4,6-tetrakis(butoxymethyl)tetrahydro-",,C24H46N4O6,,,,
14339,15986-80-8,"Pyrazine, 2-methyl-3-propyl-",,C8H12N2,,,,
1434,137-00-8,"5-Thiazoleethanol, 4-methyl-",,C6H9NOS,,,,
14340,15987-00-5,"Pyrazine, 2-butyl-3-methyl-",,C9H14N2,,,,
14341,15990-43-9,"Pyridinium, 3-carboxy-1-(phenylmethyl)-, hydroxide, inner salt",,C13H11NO2,,,,
14342,15991-76-1,"Antimony, tris[bis(2-ethylhexyl)carbamodithioato-S,S']-, (OC-6-11)-",,C51H102N3S6Sb,,,,
14343,15993-42-7,"Butanamide, N-(5-chloro-2-methoxyphenyl)-2-[(2-methoxy-4-nitrophenyl)azo]-3-oxo-",,C18H17ClN4O6,,,,
14344,15999-06-1,"1,5-Naphthalenedisulfonic acid, 3,3'-[carbonylbis[imino(5-methoxy-2-methyl-4,1-phenylene)azo]]bis-",,C37H32N6O15S4,,,,
14345,16013-44-8,"2-Naphthalenecarboxylic acid, 4-[(5-chloro-4-methyl-2-sulfophenyl)azo]-3-hydroxy-",,C18H13ClN2O6S,,,,
14346,16018-87-4,"2,4(1H,3H)-pyrimidinedione, 5-chloro-6-methyl-",,C5H5ClN2O2,,,,
14347,16021-08-2,"2(1H)-Naphthalenone, octahydro-, trans-",,C10H16O,,,,
14348,16029-98-4,"Silane, iodotrimethyl-",,C3H9ISi,,,,
14349,16038-15-6,"Cuprate(3-), [2-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-5-hydroxy-6-[(2-hydroxy-5-sulfophenyl)azo]-1,7-naphthalenedisulfonato(5-)]-, trisodium",,C19H7Cl2CuN6O11S3.3Na,,,,
1435,137-03-1,"Cyclopentanone, 2-heptyl-",,C12H22O,,,,
14350,16038-76-9,"Phosphonic acid, lead salt",,H3O3P.xPb,,,,
14352,16040-69-0,"Copper, [2,9,16,23-tetrachloro-29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, (SP-4-1)-",,C32H12Cl4CuN8,,,,
14353,16043-40-6,"Quino[2,3-b]acridine-7,14-dione, 5,12-dihydro-3,10-dimethyl-",,C22H16N2O2,,,,
14354,16044-24-9,"Methanaminium, N-[4-[[4-(dimethylamino)phenyl]phenylmethylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, hydrogen sulfate",,C23H25N2.HO4S,,,,
14355,16045-72-0,"Creatinine, compound with zinc chloride",,C4H7N3O.xCl2Zn,,,,
14356,16045-78-6,"Disiloxane, 1,1,3,3-tetraethenyl-1,3-dimethyl-",,C10H18OSi2,,,,
14357,16048-96-7,"Copper, bis(2-hydroxybenzoato-O1,O2)-",,C14H10CuO6,,,,
14358,16052-06-5,"1-Piperazinepropanesulfonic acid, 4-(2-hydroxyethyl)-",,C9H20N2O4S,,,,
14359,16064-21-4,"4(1H)-Quinazolinone, 2,3,5,6,7,8-hexahydro-2-thioxo-",,C8H10N2OS,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
1436,137-04-2,"Benzenamine, 2-chloro-, hydrochloride",,C6H6ClN.ClH,,,,
14360,16066-09-4,"Tetrasiloxane, 1,1,1,3,5,7,7,7-octamethyl-",,C8H26O3Si4,,,,
14361,16066-35-6,"Benzenesulfonic acid, 4-(1-methylethyl)-",,C9H12O3S,,,,
14362,16068-37-4,"3,8-Dioxa-4,7-disiladecane, 4,4,7,7-tetraethoxy-",,C14H34O6Si2,,,,
14363,16068-46-5,"Phosphoric acid, potassium salt",,H3O4P.xK,,,,
14364,16069-36-6,"Dibenzo[b,k][1,4,7,10,13,16]hexaoxacyclooctadecin, eicosahydro-",,C20H36O6,,,,
14365,16071-80-0,"Cuprate(3-), [2-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]-5-hydroxy-6-[(2-hydroxy-5-sulfophenyl)azo]-1,7-naphthalenedisulfonato(5-)]-, trihydrogen",,C19H7Cl2CuN6O11S3.3H,,,,
14366,16071-86-6,"Cuprate(2-), [5-[[4'-[[2,6-dihydroxy-3-[(2-hydroxy-5-sulfophenyl)azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]-2-hydroxybenzoato(4-)]-, disodium",,C31H18CuN6O9S.2Na,,,,
14367,16079-88-2,"2,4-Imidazolidinedione, 1-bromo-3-chloro-5,5-dimethyl-",,C5H6BrClN2O2,,,,
14368,16081-26-8,"1,3-Dioxolane-4-methanol, 2-ethenyl-, cis-",,C6H10O3,,,,
14369,16081-27-9,"1,3-Dioxolane-4-methanol, 2-ethenyl-, trans-",,C6H10O3,,,,
1437,137-05-3,"2-Propenoic acid, 2-cyano-, methyl ester",,C5H5NO2,,,,
14370,16081-28-0,"1,3-Dioxan-5-ol, 2-ethenyl-, cis-",,C6H10O3,,,,
14371,16081-29-1,"1,3-Dioxan-5-ol, 2-ethenyl-, trans-",,C6H10O3,,,,
14372,16086-14-9,"1,1-Ethanediol, 2,2-dichloro-",,C2H4Cl2O2,,,,
14373,16088-62-3,"Oxirane, methyl-, (S)-",,C3H6O,,,,
14374,16089-48-8,"2-Propenoic acid, 3-phenyl-, potassium salt",,C9H8O2.K,,,,
14375,16090-02-1,"Benzenesulfonic acid, 2,2′-(1,2-ethenediyl)bis[5-[[4-(4-morpholinyl)-6-(phenylamino)-1,3,5-triazin-2-yl]amino]-, sodium salt (1:2)",,C40H40N12O8S2.2Na,,,,
14376,16091-18-2,"1,3,2-Dioxastannepin-4,7-dione, 2,2-dioctyl-",,C20H36O4Sn,,,,
14377,16096-31-4,"Oxirane, 2,2'-[1,6-hexanediylbis(oxymethylene)]bis-",,C12H22O4,,,,
14379,16102-99-1,"2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-9,10-dioxo-4-[[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]-, disodium salt",,C22H18N2O11S3.2Na,,,,
1438,137-06-4,"Benzenethiol, 2-methyl-",,C7H8S,,,,
14380,16103-04-1,"Benzenediazonium, 4-[[4-[(4-diazoniophenyl)amino]phenyl]azo]-2-ethoxy-5-methyl-, (T-4)-tetrachlorozincate(2-) (1:1)",,C21H19N7O.Cl4Zn,,,,
14381,16106-44-8,"Benzenesulfonic acid, 4-methyl-, potassium salt",,C7H8O3S.K,,,,
14382,16108-50-2,"Ethanone, 1-(2-hydroxy-4,6-dimethylphenyl)-",,C10H12O2,,,,
14383,16109-97-0,"Ethanaminium, N-[4-[[4-(diethylamino)phenyl](3,6-disulfo-1-naphthalenyl)methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, hydroxide, inner salt",,C31H34N2O6S2,,,,
14385,16111-27-6,"Carbamimidothioic acid, 2-(dimethylamino)ethyl ester, dihydrochloride",,C5H13N3S.2ClH,,,,
14386,16111-62-9,"Peroxydicarbonic acid, bis(2-ethylhexyl) ester",,C18H34O6,,,,
14387,16118-45-9,"Propanamide, N-ethyl-2-[[(phenylamino)carbonyl]oxy]-",,C12H16N2O3,,,,
14388,16128-68-0,"1,2-Butanedithiol",,C4H10S2,,,,
14389,16143-18-3,"Benzoxazole, 2-[4-(2-[1,1'-biphenyl]-4-ylethenyl)phenyl]-5-(1,1-dimethylethyl)-",,C31H27NO,,,,
1439,137-07-5,"Benzenethiol, 2-amino-",,C6H7NS,,,,
14390,16143-79-6,"Cuprate(4-), [.mu.-[[6,6'-[(3,3'-dihydroxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxy-1,3-naphthalenedisulfonato]](8-)]]di-, tetrasodium",,C32H16Cu2N6O16S4.4Na,,,,
14391,16143-80-9,"Ferrate(1-), tris(1,2-naphthalenedione 1-oximato-O,O')-, sodium",,C30H18FeN3O6.Na,,,,
14392,16152-65-1,"Phenol, 4-methyl-2-(1-methylcyclohexyl)-",,C14H20O,,,,
14393,16153-75-6,"1,4-Benzenediamine, N-(1-methylethyl)-",,C9H14N2,,,,
14395,16177-21-2,"L-Glutamic acid, sodium salt",,C5H9NO4.xNa,,,,
14396,16178-48-6,"Adenosine 5'-(trihydrogen diphosphate), disodium salt",,C10H15N5O10P2.2Na,,,,
14397,16180-96-4,"Acetamide, N-[2-(acetyloxy)ethyl]-",,C6H11NO3,,,,
14398,16183-12-3,"1,2-Benzenedicarboxylic acid, lead salt",,C8H6O4.xPb,,,,
14399,16207-83-3,"Octadecanoic acid, compound with N,N-diethylethanamine (1:1)",,C18H36O2.C6H15N,,,,
144,,"Formaldehyde, polymer with Nonylphenol and Petroleum resins",,,,,,
1440,638-59-5,"1-Tetradecanol, acetate",,C16H32O2,,,,
14400,16215-21-7,"Propanoic acid, 3-mercapto-, butyl ester",,C7H14O2S,,,,
14401,16215-49-9,"Peroxydicarbonic acid, dibutyl ester",,C10H18O6,,,,
14402,16215-50-2,"Peroxydicarbonic acid, bis(2-methylpropyl) ester",,C10H18O6,,,,
14403,16219-75-3,"Bicyclo[2.2.1]hept-2-ene, 5-ethylidene-",,C9H12,,,,
14404,16222-66-5,"Sulfuric acid, thallium(3+) salt (3:2)",,H2O4S.2/3Tl,,,,
14405,16228-00-5,"2,4-Imidazolidinedione, 3-(hydroxymethyl)-5,5-dimethyl-",,C6H10N2O3,,,,
14406,16230-35-6,"Benzamide, N,N'-(ethoxymethylsilylene)bis[N-methyl-",,C19H24N2O3Si,,,,
14407,16239-11-5,2-Hexen-3-ol,,C6H12O,,,,
14408,16251-77-7,"Benzenepropanal, .beta.-methyl-",,C10H12O,,,,
14409,16260-09-6,"Hexadecanamide, N-9-octadecenyl-, (Z)-",,C34H67NO,,,,
1441,638-67-5,Tricosane,,C23H48,,,,
14410,16260-26-7,"Tetradecanoic acid, octyl ester",,C22H44O2,,,,
14411,16260-27-8,"Tetradecanoic acid, zinc salt",,C14H28O2.1/2Zn,,,,
14412,16291-96-6,Charcoal,,Unspecified,,,,
14413,16294-75-0,"14H-Anthra[2,1,9-mna]thioxanthen-14-one",,C23H12OS,,,,
14414,16298-74-1,"Phosphoric acid, dibutyl ester, sodium salt",,C8H19O4P.Na,,,,
14415,16308-92-2,"Benzenemethanol, 2,4-dimethyl-",,C9H12O,,,,
14416,16324-27-9,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-[(2-hydroxyethyl)amino]-6-[(3-sulfophenyl)amino]-1,3,5-triazin-2-yl]amino]-, tetrasodium salt",,C36H36N12O14S4.4Na,,,,
14417,16325-47-6,"2-Propenoic acid, 2-methyl-, ammonium salt",,C4H6O2.H3N,,,,
14418,16355-92-3,"Decane, 1,10-diiodo-",,C10H20I2,,,,
14419,16356-11-9,"1,3,5-Undecatriene",,C11H18,,,,
14420,16368-97-1,"Phosphoric acid, bis(2-ethylhexyl) phenyl ester",,C22H39O4P,,,"Obligations to provide information apply. You must tell the Executive Director the volume of introduction, use and end use of the chemical within 20 working days if:

               •  the chemical is being introduced for uses other than research and development.

",
14421,16383-96-3,"13H-Thioxantheno[2,1,9-def]-s-triazolo[1,5-b]isoquinolin-13-one",,C19H9N3OS,,,,
14422,16383-97-4,"5H-Thioxantheno[2,1,9-def][1,2,4]triazolo[5,1-a]isoquinolin-5-one",,C19H9N3OS,,,,
14423,16389-88-1,Dolomite (CaMg(CO3)2),,CH2O3.1/2Ca.1/2Mg,,,,
14425,16400-72-9,"2H-Pyran-2-one, 6-heptyl-5,6-dihydro-",,C12H20O2,,,,
14426,16403-84-2,"2-Naphthanilide, 4-[(5-carbamoyl-o-tolyl)azo]-3-hydroxy-",,C25H20N4O3,,,,
14427,16409-43-1,"2H-Pyran, tetrahydro-4-methyl-2-(2-methyl-1-propenyl)-",,C10H18O,,,,
14428,16409-44-2,"2,6-Octadien-1-ol, 3,7-dimethyl-, acetate",,C12H20O2,,,,
14429,16409-45-3,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, acetate",,C12H22O2,,,,
14430,16409-46-4,"Butanoic acid, 3-methyl-, 5-methyl-2-(1-methylethyl)cyclohexyl ester",,C15H28O2,,,,
14431,16411-32-8,"Silanediamine, N,N'-dicyclohexyl-1,1-dimethyl-",,C14H30N2Si,,,,
14432,16411-33-9,"Silanetriamine, N,N',N''-tributyl-1-methyl-",,C13H33N3Si,,,,
14433,16421-40-2,"Acetamide, N-[5-[[2-(acetyloxy)ethyl](phenylmethyl)amino]-2-[(2-chloro-4,6-dinitrophenyl)azo]-4-methoxyphenyl]-",,C26H25ClN6O8,,,,
14434,16421-41-3,"Acetamide, N-[5-[[2-(acetyloxy)ethyl](phenylmethyl)amino]-2-[(2,4-dinitrophenyl)azo]-4-methoxyphenyl]-",,C26H26N6O8,,,,
14435,16423-68-0,"Spiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one, 3',6'-dihydroxy-2',4',5',7'-tetraiodo-, disodium salt",,C20H8I4O5.2Na,,,,
14436,16424-32-1,"Cyclopentanone, 2-butylidene-",,C9H14O,,,,
14437,16424-35-4,"Cyclopentanone, 2-pentylidene-",,C10H16O,,,,
14438,16424-38-7,"Cyclopentanone, 2-nonylidene-",,C14H24O,,,,
14439,16424-93-4,"Cyclopentanone, 2-undecylidene-",,C16H28O,,,,
1444,639-99-6,"Cyclohexanemethanol, 4-ethenyl-.alpha.,.alpha.,4-trimethyl-3-(1-methylethenyl)-, [1R-(1.alpha.,3.alpha.,4.beta.)]-",,C15H26O,,,,
14440,16429-07-5,"Cyclohexanone, 2-hexylidene-",,C12H20O,,,,
14441,16429-21-3,"2-Oxepanone, 7-hexyl-",,C12H22O2,,,,
14442,16432-46-5,"Acetanilide, 4'-[2-nitro-4-[(p-nitrophenyl)azo]anilino]-",,C20H16N6O5,,,,
14443,16432-81-8,"2-Propenoic acid, 2-(4-benzoyl-3-hydroxyphenoxy)ethyl ester",,C18H16O5,,,,
14444,16455-61-1,"Ferrate(1-), [[.alpha.,.alpha.'-(1,2-ethanediyldiimino)bis[2-hydroxybenzeneacetato]](4-)-N,N',O,O',O2,O2']-, sodium",,C18H16FeN2O6.Na,,,,
14445,16456-56-7,"Phosphonic acid, monobutyl ester",,C4H11O3P,,,,
